route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message
9546,c_5988_b_6309_d_31,t_538046_b_6309_tn_0,,São José,1,12518,p_176629,,,,,,,,,,
9546,c_5988_b_6309_d_31,t_536171_b_6309_tn_0,,São José,1,12519,p_176790,,,,,,,,,,
9546,c_5988_b_6309_d_31,t_211531_b_6309_tn_0,,,1,12525,p_176795,,,,,,,,,,
9547,c_5988_b_6309_d_31,t_216584_b_6309_tn_0,,,0,12529,p_176815,,,,,,,,,,
9547,c_5988_b_6309_d_31,t_204812_b_6309_tn_0,,,0,12512,p_176802,,,,,,,,,,
9547,c_5988_b_6309_d_31,t_211527_b_6309_tn_0,,,0,12522,p_176806,,,,,,,,,,
9547,c_5988_b_6309_d_31,t_211528_b_6309_tn_0,,,0,12522,p_176807,,,,,,,,,,
9547,c_5988_b_6309_d_31,t_211532_b_6309_tn_0,,,0,12525,p_176809,,,,,,,,,,
9547,c_5988_b_6309_d_31,t_211534_b_6309_tn_0,,,0,12526,p_176810,,,,,,,,,,
9547,c_5988_b_6309_d_31,t_211536_b_6309_tn_0,,,0,12527,p_176811,,,,,,,,,,
9547,c_5988_b_6309_d_31,t_216570_b_6309_tn_0,,,0,12523,p_176808,,,,,,,,,,
9547,c_5988_b_6309_d_31,t_216571_b_6309_tn_0,,,0,12527,p_176812,,,,,,,,,,
9547,c_5988_b_6309_d_31,t_216576_b_6309_tn_0,,,0,12527,p_176813,,,,,,,,,,
9547,c_5988_b_6309_d_31,t_216577_b_6309_tn_0,,,0,12527,p_176814,,,,,,,,,,
9547,c_5988_b_6309_d_31,t_240775_b_6309_tn_0,,,0,12512,p_176802,,,,,,,,,,
9547,c_5988_b_6309_d_31,t_267466_b_6309_tn_0,,Praça,0,12521,p_176805,,,,,,,,,,
9547,c_5988_b_6309_d_31,t_536172_b_6309_tn_0,,Praça,0,12519,p_176803,,,,,,,,,,
9547,c_5988_b_6309_d_31,t_540161_b_6309_tn_0,,Praça,0,12512,p_176816,,,,,,,,,,
9547,c_5988_b_6309_d_31,t_540162_b_6309_tn_0,,Praça,0,12512,p_176816,,,,,,,,,,
9548,c_5988_b_6309_d_31,t_247610_b_6309_tn_0,,Monte Verde,1,12512,p_176817,,,,,,,,,,
9549,c_5988_b_6309_d_31,t_247611_b_6309_tn_0,,Praça,0,12512,p_176818,,,,,,,,,,
9550,c_5988_b_6309_d_31,t_540248_b_6309_tn_0,,,,12513,p_176819,,,,,,,,,,
9552,c_5988_b_6309_d_31,t_537808_b_6309_tn_0,,Centenário,0,12513,p_176821,,,,,,,,,,
9553,c_5988_b_6309_d_31,t_537809_b_6309_tn_0,,Praça,1,12513,p_176822,,,,,,,,,,
9554,c_5988_b_6309_d_31,t_539974_b_6309_tn_0,,Praça,1,12515,p_176827,,,,,,,,,,
9554,c_5988_b_6309_d_31,t_540227_b_6309_tn_0,,Praça,1,12513,p_176824,,,,,,,,,,
9554,c_5988_b_6309_d_31,t_540253_b_6309_tn_0,,Praça,1,12532,p_176839,,,,,,,,,,
9554,c_5988_b_6309_d_31,t_539731_b_6309_tn_0,,Praça,1,12532,p_176838,,,,,,,,,,
9554,c_5988_b_6309_d_31,t_537807_b_6309_tn_0,,Praça,1,12516,p_176828,,,,,,,,,,
9554,c_5988_b_6309_d_31,t_535754_b_6309_tn_0,,Praça,1,12524,p_177221,,,,,,,,,,
9554,c_5988_b_6309_d_31,t_535753_b_6309_tn_0,,Praça,1,12524,p_177221,,,,,,,,,,
9554,c_5988_b_6309_d_31,t_535752_b_6309_tn_0,,Praça,1,12522,p_177221,,,,,,,,,,
9554,c_5988_b_6309_d_31,t_535751_b_6309_tn_0,,Praça,1,12521,p_177221,,,,,,,,,,
9554,c_5988_b_6309_d_31,t_235743_b_6309_tn_0,,,1,12531,p_176825,,,,,,,,,,
9554,c_5988_b_6309_d_31,t_235735_b_6309_tn_0,,,1,12529,p_176836,,,,,,,,,,
9554,c_5988_b_6309_d_31,t_235734_b_6309_tn_0,,,1,12529,p_176835,,,,,,,,,,
9554,c_5988_b_6309_d_31,t_225885_b_6309_tn_0,,,1,12528,p_176834,,,,,,,,,,
9554,c_5988_b_6309_d_31,t_204814_b_6309_tn_0,,,1,12513,p_176826,,,,,,,,,,
