stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
2430040,,,Rua Lucindo Loddi antes Rua Santiago,,-29.24527478,-51.35433421,,,0,,America/Sao_Paulo,,,0
2430041,,,Rua Santiago com Rua Lucindo Loddi,,-29.24532574418,-51.354803891965,,,0,,America/Sao_Paulo,,,0
2430042,,,Rua Lucindo Loddi com Rua Santiago,,-29.24546552,-51.35492697,,,0,,America/Sao_Paulo,,,0
2430043,,,Rua Santiago com Rua Itacir Raimundo Zatti,,-29.24396653,-51.35460913,,,0,,America/Sao_Paulo,,,0
2430044,,,Rua Santiago com Rua Itacir Raimundo Zatti,,-29.24368218,-51.35468423,,,0,,America/Sao_Paulo,,,0
2430045,,,Rua Santiago com Rua Wilson Tartarotti,,-29.24255412,-51.35458097,,,0,,America/Sao_Paulo,,,0
2430046,,,Rua Wilson Tartarotti com Rua Santiago,,-29.24272029,-51.35427788,,,0,,America/Sao_Paulo,,,0
2430047,,,Rua Wilson Tartarotti com Rua Santiago,,-29.24265593,-51.35427788,,,0,,America/Sao_Paulo,,,0
2430048,,,Rua Wilson Tartarotti com Rua Pasqual Paraboni,,-29.24298592,-51.35073468,,,0,,America/Sao_Paulo,,,0
2430049,,,Rua Wilson Tartarotti com Rua Pasqual Paraboni,,-29.24292156,-51.35063946,,,0,,America/Sao_Paulo,,,0
2430050,,,Rua Wilson Tartarotti com Rua Delmo Kreber,,-29.24312868,-51.34880349,,,0,,America/Sao_Paulo,,,0
2430051,,,Rua Wilson Tartarotti com Rua Delmo Kreber,,-29.24312868,-51.34798944,,,0,,America/Sao_Paulo,,,0
2430052,,,Rua Pedro Antonello com Rua Augusto Crippa,,-29.24272029,-51.34726524,,,0,,America/Sao_Paulo,,,0
